"","SiteID","CouncilSiteID","LawaSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Agency","Region","Lat","Long"
"1","44603","44603","ARC-00001","Yes","Lowland","Native","Monthly","Monthly","Auckland Council","Auckland",-36.88883413,174.5220565
"2","45313","45313","ARC-00003","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.7765388,174.5604402
"3","7830","7830","ARC-00004","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.72304159,174.696142
"4","6811","6811","ARC-00005","Yes","Lowland","Exotic","Monthly","Monthly","Auckland Council","Auckland",-36.44855751,174.6486618
"5","6804","6804","ARC-00006","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.39952481,174.6600469
"6","6604","6604","ARC-00008","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.3445107699999,174.7105353
"7","43829","43829","ARC-00009","Yes","lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-37.1954243299999,174.9736209
"8","8110","8110","ARC-00010","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.87500973,174.7050507
"9","7502","7502","ARC-00011","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.6851517,174.6946043
"10","7904","7904","ARC-00013","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.89506569,174.5946546
"11","8219","8219","ARC-00014","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.9668253199999,174.8457406
"12","8214","8214","ARC-00015","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.96340205,174.8806567
"13","8205","8205","ARC-00016","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.95566215,174.8907199
"14","7811","7811","ARC-00017","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.73199419,174.6947376
"15","8217","8217","ARC-00018","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.9135907199999,174.9080664
"16","8215","8215","ARC-00019","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.93350176,174.9029491
"17","43856","43856","ARC-00021","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-37.02798781,174.9251679
"18","43807","43807","ARC-00022","Yes","Lowland","Urban","Monthly","Monthly","Auckland Council","Auckland",-36.9927674899999,174.8703457
"19","7506","7506","ARC-00024","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.68438762,174.739454
"20","8516","8516","ARC-00025","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-37.0129492899999,175.053385
"21","7104","7104","ARC-00026","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-36.5508813999999,174.6606423
"22","7206","7206","ARC-00027","Yes","Lowland","Native","Monthly","Monthly","Auckland Council","Auckland",-36.5784597499999,174.6577235
"23","43601","43601","ARC-00028","Yes","Lowland","Rural","Monthly","Monthly","Auckland Council","Auckland",-37.2270569999999,174.7398286
